"artist","firstName","lastName","gender","itemInSession","length","level","location","sessionId","song","userId"
"Ramses Shaffy","Matthew","Jones","M","1","332.69506","paid","Janesville-Beloit, WI","957","Laat Me.","36"
"Van Halen","Matthew","Jones","M","2","228.33587","paid","Janesville-Beloit, WI","957","Why Can't This Be Love (Remastered Version)","36"
"Method Man","Ava","Robinson","F","0","195.97016","free","New Haven-Milford, CT","979","All I Need","50"
"Mando Diao","Matthew","Jones","M","3","238.54975","paid","Janesville-Beloit, WI","957","Down In The Past","36"
"The Archies","Ava","Robinson","F","1","166.16444","free","New Haven-Milford, CT","979","Sugar Sugar","50"
"OneRepublic","Matthew","Jones","M","4","208.14322","paid","Janesville-Beloit, WI","957","Apologize","36"
"Ensiferum","Matthew","Jones","M","5","273.8673","paid","Janesville-Beloit, WI","957","Lady In Black","36"
"Gold Panda","Matthew","Jones","M","6","189.09995","paid","Janesville-Beloit, WI","957","Win-san Western","36"
"Dixie Chicks","Matthew","Jones","M","7","206.44526","paid","Janesville-Beloit, WI","957","Tonight The Heartache's On Me","36"
"Ferry Corsten","Matthew","Jones","M","8","466.46812","paid","Janesville-Beloit, WI","957","Sublime","36"
"Energy 52","Ryan","Smith","M","0","462.13179","free","San Jose-Sunnyvale-Santa Clara, CA","946","CafÃÂ© Del Mar","26"
"Babyshambles","Matthew","Jones","M","9","206.49751","paid","Janesville-Beloit, WI","957","Killamangiro","36"
"Michael BublÃÂ©","Ryan","Smith","M","1","225.90649","free","San Jose-Sunnyvale-Santa Clara, CA","946","Home (Album Version)","26"
"Steppenwolf","Matthew","Jones","M","10","208.14322","paid","Janesville-Beloit, WI","957","Born To Be Wild","36"
"Jean Michel Jarre","Ryan","Smith","M","2","461.58322","free","San Jose-Sunnyvale-Santa Clara, CA","946","oxygene 2","26"
"BjÃÂ¶rk","Matthew","Jones","M","11","348.57751","paid","Janesville-Beloit, WI","957","Undo","36"
"Anberlin","Matthew","Jones","M","12","203.02322","paid","Janesville-Beloit, WI","957","Alexithymia","36"
"Metallica","Matthew","Jones","M","13","515.21261","paid","Janesville-Beloit, WI","957","Master Of Puppets","36"
"Imogen Heap","Matthew","Jones","M","14","509.36118","paid","Janesville-Beloit, WI","957","Hide & Seek","36"
"Crosby_ Stills & Nash","Chloe","Cuevas","F","0","257.43628","paid","San Francisco-Oakland-Hayward, CA","987","Long Time Gone  (LP Version)","49"
"Nickel Creek","Chloe","Cuevas","F","1","187.55873","paid","San Francisco-Oakland-Hayward, CA","987","Scotch & Chocolate","49"
"MF Doom","Matthew","Jones","M","16","296.72444","paid","Janesville-Beloit, WI","957","Guinnesses (feat. Angelika & 4ize)","36"
"Breaks Co-Op","Ryan","Smith","M","1","199.73179","free","San Jose-Sunnyvale-Santa Clara, CA","989","The Otherside (Acoustic Version)","26"
"The Streets","Chloe","Cuevas","F","2","208.90077","paid","San Francisco-Oakland-Hayward, CA","987","War Of The Sexes","49"
"Old 97's","Matthew","Jones","M","17","231.28771","paid","Janesville-Beloit, WI","957","Victoria (LP Version)","36"
"Martin O'Donnell And Michael Salvatori","Chloe","Cuevas","F","3","185.80853","paid","San Francisco-Oakland-Hayward, CA","987","Reclaimer","49"
"Kate Voegele","Matthew","Jones","M","18","248.31955","paid","Janesville-Beloit, WI","957","It's Only Life","36"
"Justin Bieber","Chloe","Cuevas","F","4","220.89098","paid","San Francisco-Oakland-Hayward, CA","987","Somebody To Love","49"
"Devotchka","Matthew","Jones","M","19","225.09669","paid","Janesville-Beloit, WI","957","Head Honcho","36"
"Silversun Pickups","Chloe","Cuevas","F","5","340.53179","paid","San Francisco-Oakland-Hayward, CA","987","Three Seed","49"
"Animal Collective","Matthew","Jones","M","20","164.77995","paid","Janesville-Beloit, WI","957","Winter Wonderland","36"
"Dinosaur Jr.","Chloe","Cuevas","F","6","198.53016","paid","San Francisco-Oakland-Hayward, CA","987","Does It Float","49"
"Iam","Matthew","Jones","M","21","287.92118","paid","Janesville-Beloit, WI","957","Contrat De Conscience","36"
"Sam Sparro","Chloe","Cuevas","F","7","284.70812","paid","San Francisco-Oakland-Hayward, CA","987","Pocket","49"
"The Ethiopians","Matthew","Jones","M","22","170.1873","paid","Janesville-Beloit, WI","957","Train To Skaville","36"
"Leonard Cohen","Chloe","Cuevas","F","8","365.94893","paid","San Francisco-Oakland-Hayward, CA","987","Dance Me To The End Of Love","49"
"Herman's Hermits","Matthew","Jones","M","23","155.42812","paid","Janesville-Beloit, WI","957","I'm Into Something Good","36"
"Seeed","Matthew","Jones","M","24","207.59465","paid","Janesville-Beloit, WI","957","Tide Is High (Es Geht Auch Anders Mix)","36"
"Future Rock","Chloe","Cuevas","F","9","239.90812","paid","San Francisco-Oakland-Hayward, CA","987","Gears","49"
"Three Drives","Matthew","Jones","M","25","411.6371","paid","Janesville-Beloit, WI","957","Greece 2000","36"
"Eminem","Chloe","Cuevas","F","10","283.55873","paid","San Francisco-Oakland-Hayward, CA","987","Deja Vu","49"
"Creedence Clearwater Revival","Matthew","Jones","M","26","230.94812","paid","Janesville-Beloit, WI","957","It's Just A Thought","36"
"Florence + The Machine","Chloe","Cuevas","F","11","219.66322","paid","San Francisco-Oakland-Hayward, CA","987","Dog Days Are Over (Radio Edit)","49"
"The Kooks","Matthew","Jones","M","27","98.16771","paid","Janesville-Beloit, WI","957","Seaside","36"
"Yazoo","Matthew","Jones","M","28","178.99057","paid","Janesville-Beloit, WI","957","Don't Go (Live)","36"
"Hans Zimmer_ James Newton Howard","Chloe","Cuevas","F","12","455.47057","paid","San Francisco-Oakland-Hayward, CA","987","Macrotus","49"
"Paul Cardall","Matthew","Jones","M","29","222.87628","paid","Janesville-Beloit, WI","957","Scarborough Fair","36"
"Aretha Franklin","Matthew","Jones","M","30","183.90159","paid","Janesville-Beloit, WI","957","Hello Sunshine","36"
"Muse","Chloe","Cuevas","F","13","209.50159","paid","San Francisco-Oakland-Hayward, CA","987","Supermassive Black Hole (Twilight Soundtrack Version)","49"
"Coldplay","Matthew","Jones","M","31","298.762","paid","Janesville-Beloit, WI","957","Shiver","36"
"Eric Clapton","Chloe","Cuevas","F","14","271.80363","paid","San Francisco-Oakland-Hayward, CA","987","Tears In Heaven","49"
"Kate Winslet","Matthew","Jones","M","37","106.73587","paid","Janesville-Beloit, WI","957","What If (Film Version)","36"
"Roadrunner United","Chloe","Cuevas","F","15","285.02159","paid","San Francisco-Oakland-Hayward, CA","987","The Enemy (Album Version)","49"
"Flogging Molly","Matthew","Jones","M","38","260.75383","paid","Janesville-Beloit, WI","957","Punch Drunk Grinning Soul","36"
"Apocalyptica","Chloe","Cuevas","F","16","206.15791","paid","San Francisco-Oakland-Hayward, CA","987","Quutamo","49"
"Blind Melon","Matthew","Jones","M","39","214.72608","paid","Janesville-Beloit, WI","957","Mouthful Of Cavities","36"
"Killswitch Engage","Chloe","Cuevas","F","17","254.45832","paid","San Francisco-Oakland-Hayward, CA","987","In A Dead World (Album Version)","49"
"Charlie Wilson featuring Snoop Dogg","Matthew","Jones","M","40","231.70567","paid","Janesville-Beloit, WI","957","Let It Out","36"
"Black Eyed Peas","Chloe","Cuevas","F","18","229.61587","paid","San Francisco-Oakland-Hayward, CA","987","Let's Get It Started","49"
"Coldplay","Matthew","Jones","M","41","139.12771","paid","Janesville-Beloit, WI","957","Don't Panic","36"
"Tori Amos Featuring Damien Rice","Matthew","Jones","M","42","215.82322","paid","Janesville-Beloit, WI","957","The Power of Orange Knickers","36"
"Abba","Matthew","Jones","M","43","213.05424","paid","Janesville-Beloit, WI","957","Summer Night City","36"
"Blu Cantrell Featuring Foxy Brown","Matthew","Jones","M","44","250.69669","paid","Janesville-Beloit, WI","957","Hit 'Em Up Style (Oops!)","36"
"Keyshia Cole / T.I. / Missy Elliott / Young Dro","Matthew","Jones","M","45","220.08118","paid","Janesville-Beloit, WI","957","Let It Go","36"
"Maroon 5","Matthew","Jones","M","46","152.842","paid","Janesville-Beloit, WI","957","Can't Stop","36"
"Angels and Airwaves","Matthew","Jones","M","47","302.05342","paid","Janesville-Beloit, WI","957","The Gift","36"
"Silversun Pickups","Matthew","Jones","M","48","348.23791","paid","Janesville-Beloit, WI","957","Lazy Eye [Jason Bentley Remix]","36"
"65daysofstatic","Mohammad","Rodriguez","M","0","264.98567","paid","Sacramento--Roseville--Arden-Arcade, CA","969","Drove Through Ghosts to Get Here","88"
"Los Abuelos De La Nada","Matthew","Jones","M","51","122.27873","paid","Janesville-Beloit, WI","957","Se Me OlvidÃÂ³ Que Te OlvidÃÂ©","36"
"STRATOVARIUS","Matthew","Jones","M","52","442.06975","paid","Janesville-Beloit, WI","957","Soul Of A Vagabond","36"
"Young Money featuring Lloyd","Mohammad","Rodriguez","M","1","196.33587","paid","Sacramento--Roseville--Arden-Arcade, CA","969","BedRock (Radio Edit) (feat.Lloyd)","88"
"The Human League","Mohammad","Rodriguez","M","2","225.17506","paid","Sacramento--Roseville--Arden-Arcade, CA","969","(Keep Feeling) Fascination (2003 Digital Remaster)","88"
"Enya","Matthew","Jones","M","53","185.7824","paid","Janesville-Beloit, WI","957","Aldebaran","36"
"Alceu ValenÃÂ§a","Mohammad","Rodriguez","M","3","176.56118","paid","Sacramento--Roseville--Arden-Arcade, CA","969","Eu Te Amo","88"
"Nickel Creek","Matthew","Jones","M","54","225.69751","paid","Janesville-Beloit, WI","957","In The House Of Tom Bombadil","36"
"Linkin Park","Brantley","West","M","1","208.95302","free","Portland-Vancouver-Hillsboro, OR-WA","270","Crawling (Album Version)","28"
"Matisyahu","Mohammad","Rodriguez","M","4","222.37995","paid","Sacramento--Roseville--Arden-Arcade, CA","969","King Without A Crown","88"
"Bryn Terfel / Berliner Philharmoniker / Claudio Abbado","Matthew","Jones","M","55","967.36608","paid","Janesville-Beloit, WI","957","Wotan's Farewell & Magic Fire Music","36"
"Jens Lekman","Mohammad","Rodriguez","M","5","210.46812","paid","Sacramento--Roseville--Arden-Arcade, CA","969","Someone To Share My Life With","88"
"Propellerheads","Mohammad","Rodriguez","M","6","239.3073","paid","Sacramento--Roseville--Arden-Arcade, CA","969","Take California","88"
"Daft Punk","Tegan","Levine","F","0","286.6673","paid","Portland-South Portland, ME","992","Human After All (SebastiAn Remix )","80"
"Edward Sharpe & The Magnetic Zeros","Mohammad","Rodriguez","M","7","306.31138","paid","Sacramento--Roseville--Arden-Arcade, CA","969","Home","88"
"The Feeling","Tegan","Levine","F","1","227.36934","paid","Portland-South Portland, ME","992","I Want You Now","80"
"Crystal Castles","Mohammad","Rodriguez","M","8","186.38322","paid","Sacramento--Roseville--Arden-Arcade, CA","969","Untrust us","88"
"The Black Keys","Tegan","Levine","F","2","152.52853","paid","Portland-South Portland, ME","992","Busted","80"
"Timbaland / Keri Hilson / D.O.E.","Matthew","Jones","M","56","179.25179","paid","Janesville-Beloit, WI","957","The Way I Are","36"
"Oliver Koletzki","Mohammad","Rodriguez","M","9","609.48853","paid","Sacramento--Roseville--Arden-Arcade, CA","969","Nascita Of The Monsters","88"
"Josh Groban","Tegan","Levine","F","3","152.0322","paid","Portland-South Portland, ME","992","Lullaby [With Ladysmith Black Mambazo] (Album Version)","80"
"Moonspell","Matthew","Jones","M","57","293.642","paid","Janesville-Beloit, WI","957","Hers is the twilight","36"
"Alliance Ethnik","Tegan","Levine","F","4","252.21179","paid","Portland-South Portland, ME","992","ReprÃÂ©sente","80"
"Silverchair","Tegan","Levine","F","5","267.88526","paid","Portland-South Portland, ME","992","Tomorrow","80"
"Blood Red Shoes","Matthew","Jones","M","58","186.90567","paid","Janesville-Beloit, WI","957","Don't Ask","36"
"Kurd Maverick","Matthew","Jones","M","59","480.46975","paid","Janesville-Beloit, WI","957","Let's Work","36"
"Deadmau5","Mohammad","Rodriguez","M","10","429.94893","paid","Sacramento--Roseville--Arden-Arcade, CA","969","Arguru","88"
"Usher Featuring Lil' Jon & Ludacris","Mohammad","Rodriguez","M","11","250.38322","paid","Sacramento--Roseville--Arden-Arcade, CA","969","Yeah!","88"
"The Aztext","Matthew","Jones","M","60","259.21261","paid","Janesville-Beloit, WI","957","Learn to Talk","36"
"Rey Ruiz","Mohammad","Rodriguez","M","12","301.87057","paid","Sacramento--Roseville--Arden-Arcade, CA","969","Por Amarte AsÃÂ­","88"
"BjÃÂ¶rk","Matthew","Jones","M","61","348.57751","paid","Janesville-Beloit, WI","957","Undo","36"
"LeAnn Rimes","Mohammad","Rodriguez","M","13","217.25995","paid","Sacramento--Roseville--Arden-Arcade, CA","969","Probably Wouldn't Be This Way (Dann Huff remix)","88"
"Jagged Edge","Matthew","Jones","M","62","195.21261","paid","Janesville-Beloit, WI","957","Addicted To Your Love","36"
"Gorillaz","Tegan","Levine","F","7","183.53587","paid","Portland-South Portland, ME","992","Rock The House (Radio Edit)","80"
"Guns N' Roses","Mohammad","Rodriguez","M","14","193.14893","paid","Sacramento--Roseville--Arden-Arcade, CA","969","Used To Love Her","88"
"Verdena","Matthew","Jones","M","63","241.162","paid","Janesville-Beloit, WI","957","Phantastica","36"
"Angus & Julia Stone","Tegan","Levine","F","8","218.8273","paid","Portland-South Portland, ME","992","Soldier","80"
"Tegan And Sara","Mohammad","Rodriguez","M","15","180.29669","paid","Sacramento--Roseville--Arden-Arcade, CA","969","Relief Next To Me (Album Version)","88"
"BjÃÂ¶rk","Matthew","Jones","M","64","348.57751","paid","Janesville-Beloit, WI","957","Undo","36"
"Andrew Gold","Tegan","Levine","F","9","282.01751","paid","Portland-South Portland, ME","992","Thank You for Being a Friend","80"
"Platero Y Tu","Mohammad","Rodriguez","M","16","133.61587","paid","Sacramento--Roseville--Arden-Arcade, CA","969","Imanol","88"
"My Chemical Romance","Magdalene","Herman","F","0","311.11791","free","Dallas-Fort Worth-Arlington, TX","707","Welcome To The Black Parade (Album Version)","77"
"Justin Bieber","Mohammad","Rodriguez","M","17","220.89098","paid","Sacramento--Roseville--Arden-Arcade, CA","969","Somebody To Love","88"
"BlÃÂ¸f","Tegan","Levine","F","10","294.29506","paid","Portland-South Portland, ME","992","Aanzoek Zonder Ringen (met Kodo)","80"
"Avenged Sevenfold","Matthew","Jones","M","65","312.11057","paid","Janesville-Beloit, WI","957","Bat Country (Album Version)","36"
"KMC Feat. Dhany","Mohammad","Rodriguez","M","18","483.81342","paid","Sacramento--Roseville--Arden-Arcade, CA","969","I Feel So Fine ","88"
"Kings Of Leon","Magdalene","Herman","F","1","201.79546","free","Dallas-Fort Worth-Arlington, TX","707","Revelry","77"
"Faith No More","Tegan","Levine","F","11","257.802","paid","Portland-South Portland, ME","992","Midlife Crisis","80"
"Lily Allen","Matthew","Jones","M","66","197.45914","paid","Janesville-Beloit, WI","957","Him","36"
"Framing Hanley","Magdalene","Herman","F","2","230.08608","free","Dallas-Fort Worth-Arlington, TX","707","Alone In This Bed (Capeside)","77"
"Andrew Jackson Jihad","Matthew","Jones","M","68","74.97098","paid","Janesville-Beloit, WI","957","Brave as a Noun","36"
"Twista","Tegan","Levine","F","12","223.03302","paid","Portland-South Portland, ME","992","Girl Tonite [Featuring Trey Songz] [Explicit Album Version]","80"
"Sisqo","Mohammad","Rodriguez","M","19","253.49179","paid","Sacramento--Roseville--Arden-Arcade, CA","969","Thong Song","88"
"Underworld","Magdalene","Herman","F","3","158.4322","free","Dallas-Fort Worth-Arlington, TX","707","To Heal","77"
"Paramore","Matthew","Jones","M","69","267.65016","paid","Janesville-Beloit, WI","957","The Only Exception (Album Version)","36"
"Train","Magdalene","Herman","F","4","216.76363","free","Dallas-Fort Worth-Arlington, TX","707","Hey_ Soul Sister","77"
"Die Mooskirchner","Tegan","Levine","F","13","169.29914","paid","Portland-South Portland, ME","992","Frisch und g'sund","80"
"Ron Carter","Mohammad","Rodriguez","M","20","497.13587","paid","Sacramento--Roseville--Arden-Arcade, CA","969","I CAN'T GET STARTED","88"
"Bo Kaspers Orkester","Matthew","Jones","M","70","259.36934","paid","Janesville-Beloit, WI","957","Undantag","36"
"Kid Cudi / MGMT / Ratatat","Magdalene","Herman","F","5","295.67955","free","Dallas-Fort Worth-Arlington, TX","707","Pursuit Of Happiness (nightmare)","77"
"Bacilos","Matthew","Jones","M","71","307.51302","paid","Janesville-Beloit, WI","957","Viejo","36"
"Alejandro Sanz","Mohammad","Rodriguez","M","21","277.2371","paid","Sacramento--Roseville--Arden-Arcade, CA","969","Y solo se me ocurre amarte (Unplugged)","88"
"UNKLE","Matthew","Jones","M","73","295.54893","paid","Janesville-Beloit, WI","957","Burn My Shadow","36"
"the bird and the bee","Mohammad","Rodriguez","M","22","225.17506","paid","Sacramento--Roseville--Arden-Arcade, CA","969","My Love","88"
"TRUSTcompany","Martin","Johnson","M","0","194.2722","free","Minneapolis-St. Paul-Bloomington, MN-WI","773","Take It All","55"
"Pixies","Matthew","Jones","M","74","229.3024","paid","Janesville-Beloit, WI","957","Where Is My Mind?","36"
"Faith No More","Mohammad","Rodriguez","M","23","249.86077","paid","Sacramento--Roseville--Arden-Arcade, CA","969","Last Cup Of Sorrow","88"
"Big Tymers","Matthew","Jones","M","75","289.95873","paid","Janesville-Beloit, WI","957","Rocky","36"
"The Darkness","Mohammad","Rodriguez","M","24","217.05098","paid","Sacramento--Roseville--Arden-Arcade, CA","969","I Believe In A Thing Called Love","88"
"D Black","Matthew","Jones","M","76","261.14567","paid","Janesville-Beloit, WI","957","Mais E Mais Amor","36"
"Craig Mack","Mohammad","Rodriguez","M","25","218.04363","paid","Sacramento--Roseville--Arden-Arcade, CA","969","Flava In Your Ear","88"
"DAVE MATTHEWS BAND","Tegan","Levine","F","15","71.81016","paid","Portland-South Portland, ME","992","Grux","80"
"Sugar Pie DeSanto","Tegan","Levine","F","16","169.50812","paid","Portland-South Portland, ME","992","Soulful Dress","80"
"Mickie Krause","Mohammad","Rodriguez","M","26","204.17261","paid","Sacramento--Roseville--Arden-Arcade, CA","969","Orange TrÃÂ¤gt Nur Die MÃÂ¼llabfuhr (Go West)","88"
"Mikel Erentxun","Tegan","Levine","F","17","178.83383","paid","Portland-South Portland, ME","992","Frases Mudas","80"
"Sigur RÃÂ³s","Mohammad","Rodriguez","M","27","333.63546","paid","Sacramento--Roseville--Arden-Arcade, CA","969","Gong","88"
"Two Door Cinema Club","Tegan","Levine","F","18","190.56281","paid","Portland-South Portland, ME","992","You Are Not Stubborn","80"
"Josh Turner","Tegan","Levine","F","19","208.84853","paid","Portland-South Portland, ME","992","Firecracker","80"
"El Gran Combo De Puerto Rico","Mohammad","Rodriguez","M","28","226.89914","paid","Sacramento--Roseville--Arden-Arcade, CA","969","Sin Salsa No Hay ParaÃÂ­so","88"
"The Black Keys","Tegan","Levine","F","20","156.18567","paid","Portland-South Portland, ME","992","Heavy Soul ","80"
"Muse","Mohammad","Rodriguez","M","29","185.93914","paid","Sacramento--Roseville--Arden-Arcade, CA","969","Yes Please","88"
"Rivers Cuomo","Tegan","Levine","F","21","219.48036","paid","Portland-South Portland, ME","992","The World We Love So Much","80"
"Man Man","Mohammad","Rodriguez","M","30","222.45832","paid","Sacramento--Roseville--Arden-Arcade, CA","969","Van Helsing Boombox","88"
"Four Tet","Tegan","Levine","F","22","276.76689","paid","Portland-South Portland, ME","992","Untangle","80"
"Usher featuring will.i.am","Mohammad","Rodriguez","M","31","395.72853","paid","Sacramento--Roseville--Arden-Arcade, CA","969","OMG","88"
"The Grateful Dead","Tegan","Levine","F","23","351.9473","paid","Portland-South Portland, ME","992","Peggy-O [Studio Outtake]","80"
"Rilo Kiley","Mohammad","Rodriguez","M","32","270.99383","paid","Sacramento--Roseville--Arden-Arcade, CA","969","I Never (Album Version)","88"
"Leonard Cohen","Tegan","Levine","F","24","267.67628","paid","Portland-South Portland, ME","992","I'm Your Man","80"
"Justin Bieber","Mohammad","Rodriguez","M","33","191.55546","paid","Sacramento--Roseville--Arden-Arcade, CA","969","Love Me","88"
"Olivier Darock","Tegan","Levine","F","25","391.10485","paid","Portland-South Portland, ME","992","Miss You","80"
"Anjulie","Mohammad","Rodriguez","M","34","187.76771","paid","Sacramento--Roseville--Arden-Arcade, CA","969","Addicted2Me","88"
"Rilo Kiley","Mohammad","Rodriguez","M","35","322.42893","paid","Sacramento--Roseville--Arden-Arcade, CA","969","A Man/Me/Then Jim (Album Version)","88"
"Florence + The Machine","Tegan","Levine","F","26","258.55955","paid","Portland-South Portland, ME","992","Cosmic Love","80"
"Daft Punk","Tegan","Levine","F","27","213.28934","paid","Portland-South Portland, ME","992","Harder Better Faster Stronger (Alive Radio Edit 2007)","80"
"R. Kelly","Jordan","Hicks","F","0","297.37751","free","Salinas, CA","935","Your Body's Callin'","37"
"Erykah Badu","Tegan","Levine","F","28","366.65424","paid","Portland-South Portland, ME","992","Fall In Love (your funeral)","80"
"C.J. Lewis","Jordan","Hicks","F","1","201.27302","free","Salinas, CA","935","Sweets For My Sweet","37"
"Modest Mouse","Tegan","Levine","F","29","190.35383","paid","Portland-South Portland, ME","992","Here It Comes","80"
"Lil Wayne / Bobby Valentino / Kidd Kidd","Tegan","Levine","F","30","286.95465","paid","Portland-South Portland, ME","992","Mrs. Officer","80"
